,Tipo,Propiedad,Acción,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Estado,Piso N°,Antigüedad,Administración,Precio m²,Dirección,Barrio,Ciudad,Departamento,Características,Precio (COP),Descripción general,Código Fincaraíz,No. Fotos,Fecha Sacada,Fecha Publicada,Enlace
0,Usado,Apartamento,venta,2.0,1,,41 ,0 ,3,,15,enor a 1 año,100.000 COP,"4.878.048,78",Cra 67 cll 53 # 09 sur,Bogotá,Bogotá,,,200.000.000,"Vendo o permuto !!!!! Hermoso apt en conjunto reserva de madelena,  barrio madelena acabados de lujo!!!  Cocina tipo americana con excelentes terminados, sala comedor  en fachaleta y piso en porcelanato igual que la chimenea, dos alcobas y Baño totalmente terminado closet grandes,  puerta de seguridad con 2 chapas    a una cuadra de transmilenio 2 centros comerciales, el apt en estrato 3  el conjunto cuenta con piscina, 2 salones comunales, gimnasio semidotado , zona de juego para niños,",10006740.0,19,2023-01-27 11:44:51.166921,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10006740
1,Usado,Apartamento,venta,2.0,1,,"32,4 ","32,4 ",3,,1,9 a 15 años,58.000 COP,"5.092.592,59",Transversal 73  11B 33 Int 7 Apt 101,Bogotá,Bogotá,,"['En conjunto cerrado', 'Garaje(s)', 'Parqueadero Visitantes', 'Salón Comunal', 'Zona Infantil', 'Zonas Verdes', 'Calentador', 'Instalación de gas', 'Patio']",165.000.000,"Apartamento tipo apartaestudio, con patio, un baño, dos habitaciones, cocina semiintegral.",10001169.0,7,2023-01-27 11:44:52.096644,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10001169
2,Usado,Apartamento,venta,2.0,2,,50 ,0 ,3,,4,9 a 15 años,100.000 COP,3.500.000,Transversal 66 A # 66 sur - 81,Bogotá,Bogotá,,,175.000.000,"EXCELENTE OPORTUNIDAD, ZONA DE ALTA VALORIZACIÓN, BUENOS ACABADOS, CERCA A CENTRO COMERCIAL EL ENSUEÑO, FÁCIL ACCESO POR AV VILLAVICENCIO -AUTOPISTA SUR. 2 HABITACIONES CON OPCIÓN DE AMPLIACIÓN A 3 , COCINA INTEGRAL, 2 BAÑOS, SALA COMEDOR",10006390.0,7,2023-01-27 11:44:53.008042,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10006390
3,Usado,Apartamento,venta,3.0,1,,52 ,0 ,3,,5,9 a 15 años,110.000 COP,"3.557.692,31",Diagonal 4 b # 39-90,Bogotá,Bogotá,,,185.000.000,"Apartamento iluminado, 3 habitaciones, 1 baño, cocina integral, ascensor, 5to piso, parqueadero comunal.aseguradora.",10003762.0,7,2023-01-27 11:44:53.900864,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10003762
4,Usado,Apartamento,venta,3.0,2,1,70 ,70 ,3,,5,16 a 30 años,280.000 COP,"4.142.857,14",Kra. 103 d # 83-82,Bogotá,Bogotá,,"['Circuito cerrado de TV', 'En conjunto cerrado', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón Comunal', 'Vigilancia', 'Vivienda Multifamiliar', 'Baño Auxiliar', 'Cocina Integral', 'Cocina tipo Americano', 'Instalación de gas', 'Zona de lavandería']",290.000.000,"apartamento de tres alcobas sala comedor cocina zona de ropas alcoba principal con baño y otro baño
piso de sala comedor y hall en madera piso de alcobas en madera laminada el resto en baldosa",10003565.0,11,2023-01-27 11:44:54.797900,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10003565
5,Usado,Apartamento,venta,2.0,1,,43 ,0 ,2,,8,1 a 8 años,66.000 COP,"2.790.697,67",CLL 104 sur 14-80,Bogotá,Bogotá,,,120.000.000,"Apartamento con excelente vista a parque natural, ubicado en el piso séptimo, esquinero y consta de dos alcobas, sala-comedor, cocina, zona ropas y baño.",10005549.0,9,2023-01-27 11:44:55.683734,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10005549
6,Usado,Apartamento,venta,3.0,2,1,66 ,0 ,4,,2,1 a 8 años,No definida,"6.818.181,82",Cr 72 bis # 152 b 25,Bogotá,Bogotá,,,450.000.000,"Piso 2, con acensor. 3 hab. Con closet, sala comedor, cocina con barra, cuarto de ropas. Encortinado, para estrenar. 
1 Parqueadero cubierto.",10005252.0,15,2023-01-27 11:44:56.572525,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10005252
7,Usado,Casa,venta,4.0,1,,96 ,94 ,2,,1,9 a 15 años,No definida,"2.083.333,33",Cra 99 123F 23,Bogotá,Bogotá,,"['Patio', 'Colegios / Universidades', 'Trans. Público cercano', 'Zona Comercial']",200.000.000,"Casa con 4 alcobas, 1 baño, patio con instalación de lavadora, sala, comedor, cocina, para construir 4 piso más",10000700.0,Descripción general,2023-01-27 11:44:57.481005,,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10000700
8,Usado,Apartamento,venta,1.0,1,,35 ,0 ,4,,8,16 a 30 años,215.000 COP,6.000.000,Cra 7 #47-29,Bogotá,Bogotá,,,210.000.000,"Excelente apartaestudio interior de dos ambientes , ubicado sin garaje , la mejor vista al occidente desde la cocina y el area social y vista hacia el sur de la cfa 7a desde la habitacion , muy buenos acabados , pisos en madera laminada , meson en granito , zona de lavanderia,  cerca a universidad javeriana, u catolica , u piloto , intermediarios abstenerse",10003576.0,14,2023-01-27 11:44:58.362336,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10003576
9,Usado,Casa,venta,,1,2,135 ,124 ,2,,1,16 a 30 años,No definida,"1.074.074,07",carrera 10A este # 56-03 sur,Código Fincaraíz: 10008250,Bogotá,,"['Garaje(s)', 'Cocina Integral', 'Depósito / Bodega', 'Instalación de gas', 'Patio', 'Colegios / Universidades', 'Supermercados / C.Comerciales', 'Zona Residencial']",145.000.000,"Amplia casa con patio grande y dos parqueaderos que pueden usarse como locales. son grandes. Excelente estado. Cocina integral enchapada.
Habitaciones grandes. Baño gigante. Excelente precio para el área de la casa. Barrio Los Libertadores",10008250.0,3,2023-01-27 11:44:59.269806,,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10008250
