,Tipo,Propiedad,Acción,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Estado,Piso N°,Antigüedad,Administración,Precio m²,Dirección,Barrio,Ciudad,Departamento,Características,Precio (COP),Descripción general,No. Fotos,Fecha Sacada,Enlace,Acceso Pavimentado,Anuncio publicado por:,Ascensor,Balcón,Baño Auxiliar,Baño Independiente,Calentador,Citófono,Closet,Cocina Integral,En conjunto cerrado,Garaje / Parqueadero(s),Garaje(s),Instalación de gas,Parqueadero Visitantes,[,],Acceso Pavimentado,Ascensor,Balcón,Baño Auxiliar,Baño Independiente,Calentador,Citófono,Closet,Cocina Integral,En conjunto cerrado,Garaje / Parqueadero(s),Garaje(s),Instalación de gas
0,Loft,Apartamento,venta,Código Fincaraíz: 10036849,,,97.0,87.0,,,15.0,1 a 8 años,0.0,7010309.28,Calle152C 372 - 65,Bogotá,Bogotá,,"['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Oficina de negocios', 'Parqueadero Visitantes', 'Balcón', 'Barra estilo americano', 'Calentador', 'Cocina Integral', 'Cocina tipo Americano', 'Depósito / Bodega']",680000000,"EXCELENTE APARTAMENTO-COLINA CAMPESTRE 2 Habitaciones🛌🛌
*Posibilidad de 2 habitaciones mas...🛏️🛏️
1 Estudio 🤓
3 Baños🚿🚿🚿
2 Parqueaderos 🚘🚘
1 Deposito 5m²📦📦📦
Estrato 4
Piso 15
5 años de construido
Administración $400.000
Excelente gimnasio, parque infantil, piscina climatizada, sauna-turco.
Espacios para reuniones coworking, amplios salones sociales.
Proximo a CENTRO COMERCIAL LA COLINA
AV 153, AV BOYACA  CENTRO EMPRESARIAL LA COLINA
CLINICA COLINA",20,2023-04-23 19:07:09.277028,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10036849,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
1,Usado,Apartamento,venta,4,2.0,1.0,90.0,0.0,3,,3.0,16 a 30 años,180000.0,3666666.67,Cll 89B # 117-20 Ciudadela Colsubsidio,Bogotá,Bogotá,,[],330000000,"Apto duplex parques de la ciudadela 3 habitaciones y estudio, 2 baños, cocina, sala comedor y zona de ropas, parqueadero privado, en cortijo, ciudadela colsubsidio, esquinero, excelente vista, ubicado cerca a la calle 80, negociable",14,2023-04-23 19:07:10.853811,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10037499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Usado,Casa,venta,3,3.0,,216.0,72.0,2,,3.0,16 a 30 años,0.0,925925.93,cr 1 a este n 49 a 19 sur,Bogotá,Bogotá,,"['Parques cercanos', 'Sobre vía principal', 'Trans. Público cercano']",200000000,"Casa ubicada en Bogotá, barrio Diana Turbay consta tres pisos con un área construida de 216m2 
72m2 por piso construido 
Cuenta con licencia de contrucción vigente y documentos 100% al día.
CITA PREVIA 
Valor: $180.000.000
Se recibe como pago 
50% en efectivo 50% vehículo o terreno fuera de la ciudad

Negociable

""NO SE RECIBE POR MEDIO DEL FONDO NACIONAL DEL AHORRO""

Mayor información comunicarse al 
322 350 06 59
311 209 12 17
315 338 19 30
320 222 84 66",6,2023-04-23 19:07:12.384008,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10030139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Usado,Apartamento,venta,3,2.0,1.0,95.0,88.0,4,,11.0,16 a 30 años,487000.0,5052631.58,calle 150 # 15-26 TORRE 2,Bogotá,Bogotá,,"['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Jardín', 'Oficina de negocios', 'Balcón', 'Calentador', 'Citófono', 'Cocina Integral', 'Estudio', 'Hall de Alcobas']",480000000,"AMPLIO E ILUMINADO APARTAMENTO, CON ESPECTACULAR VISTA , EXCELENTE ILUMINACION. TRES HABITACIONES, ESTUIO, SALON COMERDOR, BALCON . INIGUALABLE UBICACION, CERCA AL CENTRO COMERCIAL CEDRITOS, FACIL ACCESO, VIAS PRINCIPALES CERCANAS, COLEGIOS, COMERCIO.
INORMES 310 269 01 93 Y 320 867 12 50",14,2023-04-23 19:07:13.901047,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10034718,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
4,Usado,Apartamento,venta,2,1.0,,33.0,0.0,3,,3.0,1 a 8 años,75000.0,4090909.09,Cra 4 # 1 - 46 conjunto altavista el mirador,Bogotá,Bogotá,,[],135000000,"Vendo lindo apto, conjunto altavista  el mirador a 10 min del centro,  consta de 2 habitaciones con closet, 1 baño calentador a gas, sala comedor, cocina integral, zona de lavado.  El conjunto cuenta con zona BBQ,  salon comunal, parqueadero comunal. Vigilancia 24/7. Informes  3112653194 o 3138543286",5,2023-04-23 19:07:15.447341,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10057935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Usado,Casa,venta,6,2.0,2.0,,0.0,3,,2.0,16 a 30 años,0.0,4514343.96,Cll 30  34f 18sur,Bogotá,Bogotá,,[],620000000,"Super GANGA, Vendo Hermosa Casa en San Jorge central, Súper RENTABLE, Excelente ubicación, Precio Negociable.
Cerca a la estación NQS Cll 38 sur, cerca al Centro Comercial Centro Mayor y la avenida Primera de Mayo.",18,2023-04-23 19:07:16.958924,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10029138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Usado,Apartamento,venta,2,1.0,,40.0,0.0,3,,2.0,9 a 15 años,70000.0,4625000.0,Parques de castilla 1,Bogotá,Bogotá,,[],185000000,"Parques de castilla 1 , paradero de alimentar al frente , cerca portal Banderas , dos cuadras de la Boyaca. Centro comercial El Edén . Parqueadero relación 2/1",7,2023-04-23 19:07:18.551655,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10034501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Usado,Apartamento,venta,2,1.0,,,,3,,1.0,9 a 15 años,58000.0,5092592.59,Transversal 73  11B 33 Int 7 Apt 101,Bogotá,Bogotá,,"['En conjunto cerrado', 'Garaje(s)', 'Parqueadero Visitantes', 'Salón Comunal', 'Zona Infantil', 'Zonas Verdes', 'Calentador', 'Instalación de gas', 'Patio']",165000000,"Apartamento tipo apartaestudio, con patio, un baño, dos habitaciones, cocina semiintegral.",7,2023-04-23 19:07:20.069232,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10001169,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
8,Inmobiliaria,Apartamento,venta,2,1.0,,47.0,47.0,3,,1.0,ás de 30 años,90000.0,2978723.4,,,Bogotá,,"['En conjunto cerrado', 'Salón Comunal', 'Vigilancia', 'Zona Infantil', 'Zonas Verdes', 'Citófono', 'Hall de Alcobas', 'Instalación de gas', 'Piso en Baldosa /  Mármol', 'Zona de lavandería', 'Colegios / Universidades', 'Parques cercanos', 'Anuncio publicado por:', 'Inmobiliaria Bochica', 'hace 2024 años']",140000000,"Apartamento en venta Bochica Noroccidente (Engativa-Bogotá D.C)
Consta de Sala comedor, cocina semi-Integral, 2 habitaciones con closet, 1 baños con division en acrilico, zona de lavado, parqueadero comunal.
¡¡¡NEGOCIABLE!!!.
Contatanos: 3107725763 - 4313232
Visita: www.inmobiliariabochica.co",13,2023-04-23 19:07:21.603380,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10067479,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
9,Loft,Apartamento,venta,4,3.0,2.0,250.0,230.0,6,,5.0,16 a 30 años,0.0,6400000.0,,,Bogotá,,"['Ascensor', 'Planta Eléctrica', 'Salón Comunal', 'Terraza', 'Vigilancia', 'Balcón', 'Barra estilo americano', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Cuarto de servicio', 'Depósito / Bodega', 'Anuncio publicado por:', 'Eliana Rodriguez', 'hace 2024 años']",1600000000,"Apto en el Nogal bien ubicados zona residencial, zona comercial y de parques.",27,2023-04-23 19:07:23.164663,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10048336,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
